Tag,LocatorName,LocatorValue,LocatorType
app-root,,/html/body/app-root,Xpath
div,,/html/body/app-root/div,Xpath
router-outlet,slider,//router-outlet[@name='slider'],Xpath
router-outlet,bot,//router-outlet[@name='bot'],Xpath
div,,/html/body/app-root/div/div,Xpath
app-mi-toast,,/html/body/app-root/div/div/app-mi-toast,Xpath
p-toast,,/html/body/app-root/div/div/app-mi-toast/p-toast,Xpath
div,,/html/body/app-root/div/div/app-mi-toast/p-toast/div,Xpath
router-outlet,primary,//router-outlet[@name='primary'],Xpath
app-feature-employee-dashboard,,/html/body/app-root/div/div/app-feature-employee-dashboard,Xpath
router-outlet,,/html/body/app-root/div/div/app-feature-employee-dashboard/router-outlet,Xpath
app-employee-login,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login,Xpath
main,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main,Xpath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[1],Xpath
img,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[1]/img,Xpath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[2],Xpath
img,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[2]/img,Xpath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[3],Xpath
img,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[3]/img,Xpath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4],Xpath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div,Xpath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div,Xpath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div/div[1],Xpath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div/div[1]/div[1],Xpath
img,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div/div[1]/div[1]/img,Xpath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div/div[1]/div[2],Xpath
p,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div/div[1]/div[2]/p,Xpath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div/div[2],Xpath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div/div[2]/div[1],Xpath
p,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div/div[2]/div[1]/p,Xpath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div/div[2]/div[2],Xpath
p,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/div/div[2]/div[2]/p,Xpath
form,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form,Xpath
article,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[1],Xpath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[1]/div,Xpath
span,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[1]/div/span,Xpath
i,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[1]/div/span/i,Xpath
input,emailInput,//input[@id='emailInput'],Xpath
article,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[1]/article,Xpath
article,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[2],Xpath
article,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[2]/article[1],Xpath
span,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[2]/article[1]/span,Xpath
i,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[2]/article[1]/span/i[1],Xpath
input,passwordInputField,//input[@id='passwordInputField'],Xpath
i,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[2]/article[1]/span/i[2],Xpath
article,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[2]/article[2],Xpath
article,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3],Xpath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3]/div,Xpath
article,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3]/div/article[1],Xpath
p-checkbox,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3]/div/article[1]/p-checkbox,Xpath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3]/div/article[1]/p-checkbox/div,Xpath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3]/div/article[1]/p-checkbox/div/div[1],Xpath
input,binary,//input[@id='binary'],Xpath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3]/div/article[1]/p-checkbox/div/div[2],Xpath
article,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3]/div/article[2],Xpath
p,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3]/div/article[2]/p,Xpath
article,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3]/article,Xpath
p,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/article[3]/article/p,Xpath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/div,Xpath
p-button,login-button,//p-button[@id='login-button'],Xpath
button,Login,"//button[contains(text(), 'Login')]",Xpath
span,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/div[4]/div/form/div/p-button/button/span,Xpath
footer,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/footer,Xpath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/footer/div[1],Xpath
p,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/footer/div[1]/p,Xpath
div,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/footer/div[2],Xpath
p,,/html/body/app-root/div/div/app-feature-employee-dashboard/app-employee-login/main/footer/div[2]/p,Xpath
script,,/html/body/script[1],Xpath
script,,/html/body/script[2],Xpath
script,,/html/body/script[3],Xpath
